Student,Assignment,Activity,Scoring Guide,Nancy Stephenson Score,Angela Ross Score,Active Score
86,272,PSM_Pretest_2020_D(c),Pop.04.1_OE,,,MAPc3
100,286,PSM_Pretest_2020_B,Pop.04.1_OE,,,MAPc3
101,287,PSM_Pretest_2020_A(c),Pop.04.1_OE,,,MAPc3
108,294,PSM_Pretest_2020_B,Pop.04.1_OE,,,MAPc2
113,299,PSM_Pretest_2020_C,Pop.04.1_OE,,,MAPc3
119,305,PSM_Pretest_2020_C,Pop.04.1_OE,,,MAPc0
126,312,PSM_Pretest_2020_B,Pop.04.1_OE,,,MAPc3
134,320,PSM_Pretest_2020_D(c),Pop.04.1_OE,,,MAPc0
141,327,PSM_Pretest_2020_C,Pop.04.1_OE,,,MAPc2
166,352,PSM_Pretest_2020_D(c),Pop.04.1_OE,,,MAPc3
168,354,PSM_Pretest_2020_B,Pop.04.1_OE,,,MAPc1
169,355,PSM_Pretest_2020_A(c),Pop.04.1_OE,,,MAPc1
170,356,PSM_Pretest_2020_F,Pop.04.1_OE,,,MAPc3
171,357,PSM_Pretest_2020_E(c),Pop.04.1_OE,,,MAPc3
188,374,PSM_Pretest_2020_C,Pop.04.1_OE,,,MAPc3
205,391,PSM_Pretest_2020_A(c),Pop.04.1_OE,,,MAPc1
206,392,PSM_Pretest_2020_F,Pop.04.1_OE,,,MAPc2
222,408,PSM_Pretest_2020_D(c),Pop.04.1_OE,,,MAPc0
242,429,PSM_Pretest_2020_B,Pop.04.1_OE,,,MAPc3
257,444,PSM_Pretest_2020_E(c),Pop.04.1_OE,,,MAPc0
259,446,PSM_Pretest_2020_C,Pop.04.1_OE,,,MAPc2
263,450,PSM_Pretest_2020_E(c),Pop.04.1_OE,,,MAPc2
268,455,PSM_Pretest_2020_A(c),Pop.04.1_OE,,,MAPc3
418,616,PSM_Pretest_2020_E(c),Pop.04.1_OE,,,MAPc2
527,749,PSM_Pretest_2020_E(c),Pop.04.1_OE,,,MAPc0
641,869,PSM_Pretest_2020_F,Pop.04.1_OE,,,MAPc0
728,970,PSM_Pretest_2020_D(c),Pop.04.1_OE,,,MAPc3
735,977,PSM_Pretest_2020_E(c),Pop.04.1_OE,,,MAPc3
740,983,PSM_Pretest_2020_B,Pop.04.1_OE,,,MAPc1
743,986,PSM_Pretest_2020_E(c),Pop.04.1_OE,,,MAPc1
